[I 190407 07:42:24 main:190] Temperature: 31.88ºC; Humidity: 35.54%; Pressure: 98257.67Pa; CPU_Temperature: 40.62ºC
[I 190407 07:42:29 main:190] Temperature: 31.92ºC; Humidity: 35.55%; Pressure: 98255.25Pa; CPU_Temperature: 41.16ºC
[I 190407 07:42:34 main:190] Temperature: 32.01ºC; Humidity: 35.55%; Pressure: 98255.88Pa; CPU_Temperature: 40.62ºC
[I 190407 07:42:39 main:190] Temperature: 31.99ºC; Humidity: 35.4%; Pressure: 98259.23Pa; CPU_Temperature: 40.62ºC
[I 190407 07:42:45 main:190] Temperature: 31.88ºC; Humidity: 35.31%; Pressure: 98255.27Pa; CPU_Temperature: 40.62ºC
[I 190407 07:42:50 main:190] Temperature: 31.93ºC; Humidity: 36.01%; Pressure: 98258.25Pa; CPU_Temperature: 40.62ºC
[I 190407 07:42:55 main:190] Temperature: 31.93ºC; Humidity: 35.71%; Pressure: 98254.66Pa; CPU_Temperature: 40.08ºC
[I 190407 07:43:00 main:190] Temperature: 31.9ºC; Humidity: 35.44%; Pressure: 98255.32Pa; CPU_Temperature: 40.08ºC
[I 190407 07:43:05 main:190] Temperature: 31.9ºC; Humidity: 35.44%; Pressure: 98256.4Pa; CPU_Temperature: 41.16ºC
[I 190407 07:43:10 main:190] Temperature: 31.9ºC; Humidity: 35.25%; Pressure: 98257.15Pa; CPU_Temperature: 41.16ºC
[I 190407 07:43:15 main:190] Temperature: 31.84ºC; Humidity: 35.55%; Pressure: 98258.96Pa; CPU_Temperature: 40.62ºC
[I 190407 07:43:20 main:190] Temperature: 31.84ºC; Humidity: 35.7%; Pressure: 98259.55Pa; CPU_Temperature: 40.62ºC
[I 190407 07:43:25 main:190] Temperature: 31.88ºC; Humidity: 35.73%; Pressure: 98260.55Pa; CPU_Temperature: 40.62ºC
[I 190407 07:43:30 main:190] Temperature: 31.95ºC; Humidity: 35.69%; Pressure: 98258.15Pa; CPU_Temperature: 40.08ºC
[I 190407 07:43:35 main:190] Temperature: 31.93ºC; Humidity: 35.54%; Pressure: 98256.86Pa; CPU_Temperature: 41.16ºC
[I 190407 07:43:40 main:190] Temperature: 31.95ºC; Humidity: 35.59%; Pressure: 98256.18Pa; CPU_Temperature: 40.62ºC
[I 190407 07:43:45 main:190] Temperature: 31.9ºC; Humidity: 35.63%; Pressure: 98256.27Pa; CPU_Temperature: 40.62ºC
[I 190407 07:43:51 main:190] Temperature: 31.86ºC; Humidity: 35.69%; Pressure: 98255.93Pa; CPU_Temperature: 40.62ºC
[I 190407 07:43:56 main:190] Temperature: 31.99ºC; Humidity: 35.37%; Pressure: 98256.18Pa; CPU_Temperature: 41.16ºC
[I 190407 07:44:01 main:190] Temperature: 31.82ºC; Humidity: 35.51%; Pressure: 98259.57Pa; CPU_Temperature: 41.16ºC
[I 190407 07:44:06 main:190] Temperature: 32.09ºC; Humidity: 35.49%; Pressure: 98256.23Pa; CPU_Temperature: 40.62ºC
[I 190407 07:44:11 main:190] Temperature: 31.92ºC; Humidity: 36.01%; Pressure: 98255.74Pa; CPU_Temperature: 41.16ºC
[I 190407 07:44:16 main:190] Temperature: 31.9ºC; Humidity: 35.7%; Pressure: 98262.45Pa; CPU_Temperature: 40.62ºC
[I 190407 07:44:21 main:190] Temperature: 31.84ºC; Humidity: 35.17%; Pressure: 98259.79Pa; CPU_Temperature: 41.16ºC
[I 190407 07:44:26 main:190] Temperature: 31.99ºC; Humidity: 35.63%; Pressure: 98255.44Pa; CPU_Temperature: 40.08ºC
[I 190407 07:44:31 main:190] Temperature: 31.92ºC; Humidity: 35.61%; Pressure: 98258.28Pa; CPU_Temperature: 40.62ºC
[I 190407 07:44:36 main:190] Temperature: 31.9ºC; Humidity: 36.08%; Pressure: 98258.45Pa; CPU_Temperature: 40.62ºC
[I 190407 07:44:41 main:190] Temperature: 31.84ºC; Humidity: 35.32%; Pressure: 98258.01Pa; CPU_Temperature: 40.62ºC
[I 190407 07:44:46 main:190] Temperature: 31.97ºC; Humidity: 36.08%; Pressure: 98255.62Pa; CPU_Temperature: 40.08ºC
[I 190407 07:44:51 main:190] Temperature: 31.99ºC; Humidity: 35.38%; Pressure: 98258.18Pa; CPU_Temperature: 41.16ºC
[I 190407 07:44:56 main:190] Temperature: 32.01ºC; Humidity: 35.37%; Pressure: 98256.08Pa; CPU_Temperature: 40.62ºC
[I 190407 07:45:02 main:190] Temperature: 31.92ºC; Humidity: 35.76%; Pressure: 98254.2Pa; CPU_Temperature: 40.08ºC
[I 190407 07:45:07 main:190] Temperature: 31.86ºC; Humidity: 35.16%; Pressure: 98257.13Pa; CPU_Temperature: 41.16ºC
[I 190407 07:45:12 main:190] Temperature: 31.95ºC; Humidity: 35.51%; Pressure: 98256.69Pa; CPU_Temperature: 40.62ºC
[I 190407 07:45:17 main:190] Temperature: 31.92ºC; Humidity: 34.91%; Pressure: 98256.01Pa; CPU_Temperature: 41.16ºC
[I 190407 07:45:22 main:190] Temperature: 31.97ºC; Humidity: 35.42%; Pressure: 98260.06Pa; CPU_Temperature: 40.62ºC
[I 190407 07:45:27 main:190] Temperature: 31.95ºC; Humidity: 35.48%; Pressure: 98253.59Pa; CPU_Temperature: 41.16ºC
[I 190407 07:45:32 main:190] Temperature: 31.95ºC; Humidity: 35.66%; Pressure: 98252.93Pa; CPU_Temperature: 40.62ºC
[I 190407 07:45:37 main:190] Temperature: 31.84ºC; Humidity: 35.71%; Pressure: 98254.15Pa; CPU_Temperature: 40.08ºC
[I 190407 07:45:42 main:190] Temperature: 31.92ºC; Humidity: 35.43%; Pressure: 98254.66Pa; CPU_Temperature: 41.16ºC
[I 190407 07:45:47 main:190] Temperature: 31.92ºC; Humidity: 35.61%; Pressure: 98254.98Pa; CPU_Temperature: 41.16ºC
[I 190407 07:45:52 main:190] Temperature: 31.95ºC; Humidity: 35.49%; Pressure: 98252.1Pa; CPU_Temperature: 41.16ºC
[I 190407 07:45:57 main:190] Temperature: 31.93ºC; Humidity: 35.46%; Pressure: 98255.37Pa; CPU_Temperature: 40.62ºC
[I 190407 07:46:02 main:190] Temperature: 31.88ºC; Humidity: 35.8%; Pressure: 98259.81Pa; CPU_Temperature: 40.62ºC
[I 190407 07:46:08 main:190] Temperature: 31.9ºC; Humidity: 35.76%; Pressure: 98255.59Pa; CPU_Temperature: 40.62ºC
[I 190407 07:46:13 main:190] Temperature: 31.92ºC; Humidity: 35.71%; Pressure: 98255.57Pa; CPU_Temperature: 41.16ºC
[I 190407 07:46:18 main:190] Temperature: 31.93ºC; Humidity: 35.51%; Pressure: 98257.79Pa; CPU_Temperature: 40.62ºC
[I 190407 07:46:23 main:190] Temperature: 31.92ºC; Humidity: 35.49%; Pressure: 98253.98Pa; CPU_Temperature: 40.08ºC
